,sentence,intent
1799,fuck put hot sauce slice pizza,No Hate
1800,give fucking m,No Hate
1801,great today gone floris wanted spank leah wanted stab curtis back adam still looks great however old fuck kl bigger dick,Hate
1802,great today gone floris wanted spank leah wanted stab curtis back adam still looks great however old fuck kl bigger dick,No Hate
1803,ready crazy ass racing tomorrow,No Hate
1804,exactly sorry till found people cosign bullshit idiots pair,Hate
1805,yes bitch,Hate
1806,like shitty restaurants advertise voted world famous crabcakes nobody tell voted nobody lives outside mile radius ever actually eaten,Hate
1807,man shit got hype like watchin years ago,No Hate
1808,yea shit sucks thats stopped watching anime most,No Hate
1809,get hel,Hate
1810,fuck yes someone pressure get every pit open,No Hate
1811,total bullshit,Hate
1812,smut straight hel,No Hate
1813,low class asshole wear suits talk call us deplorable sit behind antifa hate filled lying son bitch party call honorable least pappy would proud,Hate
1814,low class asshole wear suits talk call us deplorable sit behind antifa hate filled lying son bitch party call honorable least pappy would proud,Hate
1815,irish bad bitch,Hate
1816,feel dude fucking suck,No Hate
1817,lemme rap shit video floatin downstream coffin like horrorland lol,No Hate
1818,hope tana girl fucks anything lol,No Hate
1819,fun manager stick ass would make redwood self conscious s,Hate
1820,could literally give two fucks af like ummm okay thank,No Hate
1821,fuck yeah go,No Hate
1822,difficult woman far left leaning bitch place unbiased commentary platform get rid,Hate
1823,ramos sounds like shitty ump,Hate
1824,oh shit u w,No Hate
1825,missing shit,No Hate
1826,man glad make day saying stupid shit fly trying dumb lmao url,No Hate
1827,talk shit law,Hate
1828,oh shit uhhh ao f,No Hate
1829,fuck,Hate
1830,hit fucking elo reason posting thee booter exposer shows cant believe everyone commun,No Hate
1831,shut fuck upppp kliff bigger gayer try shit,Hate
1832,shut fuck upppp kliff bigger gayer try shit,No Hate
1833,fuck happen,No Hate
1834,know said gay tho liberals mean conservatives sounds like upset matters matter go lengths deny gay th,No Hate
1835,know said gay tho liberals mean conservatives sounds like upset matters matter go lengths deny gay th,No Hate
1836,know said gay tho liberals mean conservatives sounds like upset matters matter go lengths deny gay str,No Hate
1837,jail kind prosecution church getting away pedo crimes hell holding tentacle wth,No Hate
1838,fake ass emoji,Hate
1839,joe singing old liberal bullshit song misrepresenting facts usu,Hate
1840,bro randomly tried dns shit worked first time wtf,No Hate
1841,ignorant fool become ag forgot ignorant obama current occupier white house learn ignorant idiot president united states think president leave country go,Hate
1842,personal responsibility drunk boys boys drunk slut,No Hate
1843,damn right think different part problem country thank god president puts instead putting illigal aliens ahead american,No Hate
1844,bitch life flashing ey,No Hate
1845,oh fuck forgot poopy diaper pants know know,No Hate
1846,homer losing boner petty resemblance even shoving face okay,No Hate
1847,bitch shut cyberpunk announced way back getting revealed get facts straight,Hate
1848,ironic thing closely aligned far right even agreeing look thread asshole posted thing iq defense fuck shit,Hate
1849,ironic thing closely aligned far right even agreeing look thread asshole posted thing iq defense fuck shit,Hate
1850,ironic thing closely aligned far right even agreeing look thread asshole posted thing iq defense fuck shit,Hate
1851,smack shit outta,No Hate
1852,heard ur cock big lon,Hate
1853,bipolar keep saying different shit people commenting u said,Hate
1854,probably say fuck,No Hate
1855,ruin shit lol,No Hate
1856,told matter much try life keeps biting ass,No Hate
1857,ugh meant wigs shit,Hate
1858,fat ass liar strik,Hate
1859,actually ancestors long anyone got even french ass native americans first get facts straight wanna throw punches make sure know throwing fi,Hate
1860,eric holder arms dealer jail ass slip,Hate
1861,bale shit,Hate
1862,fucking bf nigga,Hate
1863,fucking bf nigga,Hate
1864,im broke ass bitxh lol eveb better runs sleep like lying runs like feet going usain bolt xd get kicked lot,No Hate
1865,usual clue kids must make shit takes crap since consist,No Hate
1866,asshole libtard,No Hate
1867,nope going miss sorry ass,Hate
1868,yea crazy ass story like go wrong apartment numbers doors notice soon walk shit,No Hate
1869,yea crazy ass story like go wrong apartment numbers doors notice soon walk shit,No Hate
1870,robyn gonna make vegan scones ran fucking time blame biochem lab,No Hate
1871,abso fucking lutely shit alreadi,No Hate
1872,awh shit,No Hate
1873,prove claim exposed lying piece shit meanwhile url,Hate
1874,disrespect sharpie like bro definitely brand shit back dollar tre,Hate
1875,never heard thankful shit canada police history conserv,Hate
1876,master none fucking good,No Hate
1877,little ass boy,Hate
1878,factory coming back u n movie sum worth n cause sling shit shows intellig,No Hate
1879,nigga hit em wit well lowki,No Hate
1880,gop voters better wake hell poll finds voters worried midterms bad url via,No Hate
1881,lol okay cuz shit gotta discreet,No Hate
1882,mouth goes one side smirky shit lik,Hate
1883,bad ass bitch,No Hate
1884,bad ass bitch,No Hate
1885,die bitch,Hate
1886,holy shit awesom,No Hate
1887,brennan sure hel,No Hate
1888,since lebron eat ass guess url,No Hate
1889,lmao man people talking much shit yesterday comment marvel stan twitter moe overused thanos jokes url,No Hate
1890,go hel,Hate
1891,lucky bitch,No Hate
1892,maybe things day little sensible gun control fucking countri,Hate
1893,doin part check pussies hood still say n word cause little educated got ways describe brother friends feel way though many peopl,Hate
1894,coworker sick ass one work,Hate
1895,gonna need whole ass rant thread done utara loghat really feel haha,No Hate
1896,moment thought deaths sounded fucked sick first,Hate
1897,hostile environment poorest vulnerable society keeps rolling much eh voted shit hang head shame pmnow url,Hate
1898,oh shit,No Hate
1899,trolling fuck cause quick call mfs coons minor disagr,No Hate
1900,hate much fucked whole franchis,Hate
1901,rae sis say offense like tweets calling sad bitch also im truly shocked ur l train year,No Hate
1902,damn headgear lit sucks im pc ubi plz consol,No Hate
1903,hey samsung website declined times credit afford phone without ass second one maybe next time even though hate iphone buy iphone screw,Hate
1904,career media works people admire people think piece shit make far,Hate
1905,damn mind feinstinkle band leaked took lie detector test hired lawyer last month accusing judge crime years old proof ruining mans life accus,Hate
1906,guess chicago kids go theu shit every day strictest gun control around,No Hate
1907,still fucked respecting lgbtq,Hate
1908,holy shit brainwashed ya,No Hate
1909,yeah go back faerie world handle shit,No Hate
1910,omg fucking hate dal,Hate
1911,aaaaaaaaa exciting majority friends second year point blow receive moving whole ass country hit yet film studies hate appar,No Hate
1912,oh shit mafia finally found,No Hate
1913,listened give shit fans think counting fox money,No Hate
1914,good soundtrack dmed fire fuck still listen often bad tracks better joking shit,No Hate
1915,good soundtrack dmed fire fuck still listen often bad tracks better joking shit,No Hate
1916,oh shit trigger bigot,No Hate
1917,lock yo sorry ass,No Hate
1918,look chill fuck bearded dragon url,No Hate
1919,whole meta joke would original tweet fuckin calcul,No Hate
1920,oh yeah terry porters second pi call osu alumn naw im coach scumbag history know anything history aaron hernandez would know kind scumbag osu shith,Hate
1921,little appreciation post bestie bad bitch thankful url,No Hate
1922,bull shit know,Hate
1923,love penis want keep would rather smoke joint,No Hate
1924,offer since june shitty browns stop thinking still good living past,Hate
1925,sis know damn well would probably call cute people propose concerts time yet gay couple wrong fucking concert pay attent,No Hate
1926,sis know damn well would probably call cute people propose concerts time yet gay couple wrong fucking concert pay attent,No Hate
1927,sis know damn well would probably call cute people propose concerts time yet gay couple wrong fucking concert pay attent,No Hate
1928,naaa spent hours laughing huge nuts stupidity fink kind entity bunch scared antifa pussies wiv muscle see anyone try bully even pathet,Hate
1929,saying ben ben hell going something tweet crap djt,No Hate
1930,years complaining im finally getting bitch ass wisdom teeth stop fucking cri,No Hate
1931,years complaining im finally getting bitch ass wisdom teeth stop fucking cri,No Hate
1932,years complaining im finally getting bitch ass wisdom teeth stop fucking cri,No Hate
1933,fuck dope fox watcher independent voter never vote left party danger,Hate
1934,old pic trump monitoring anything related hurricane pretty sure shitting pants right,No Hate
1935,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt,Hate
1936,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt,Hate
1937,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt,Hate
1938,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt ask,Hate
1939,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt ask f,Hate
1940,says bitch ass boy hiding behind keyboard hurt ask help sometimes everything alone fucking clown help something better nothing asked even hurt ask f,Hate
1941,lies got key admit date maybe nsa married true story bs ok respct police officer story excuse full shit please post photo let se,Hate
1942,get saying type dumb shit,Hate
1943,already ass many fucking shots tonight,Hate
1944,already ass many fucking shots tonight,No Hate
1945,seriously words fucked every time think found word something even despicable amp disgusting best hope chokes vomit stupid lies tol,Hate
1946,fucking sucks ref,No Hate
1947,meet many many fans amazing remembered bitch,Hate
1948,bullshit stats say london murder capital europe gun control working right germany serious crime problems maybe u take care business home u start tweeting th,Hate
1949,someone asking davido supposed camp oga madam park well davido business non business na u send go school haterz chop shit n di,Hate
1950,everyone saying fuck russ dont know damn thing watched interview,No Hate
1951,everyone saying fuck russ dont know damn thing watched interview,No Hate
1952,got knocked first round one shitty decis,No Hate
1953,powerful woman earth oh fucking god url,No Hate
1954,birch da fuck,No Hate
1955,know good goddamn well tried explain gun control military base proof gun grabbing laws shit look fort hood,No Hate
1956,know good goddamn well tried explain gun control military base proof gun grabbing laws shit look fort hood,No Hate
1957,catch letting saggy whitey bitch talkin like bitch eat dirt,Hate
1958,catch letting saggy whitey bitch talkin like bitch eat dirt,Hate
1959,installing shitty app put second amendment campus carry gun control except violent felons url,Hate
1960,man woulda started hitting wall shit nothing dry wall wood beams getting door,No Hate
1961,fuck yes ride babi,No Hate
1962,fuck trying set looks like somehow deserved shot,No Hate
1963,srsly sucks ur living life full bullshit rules gotta suck surv,No Hate
1964,got shit done today,No Hate
1965,hope well thats fucked like seriously fuck wrong ppl gun control issue though right thank god live canada feel brutal attacks u seriously go away,No Hate
1966,hope well thats fucked like seriously fuck wrong ppl gun control issue though right thank god live canada feel brutal attacks u seriously go away,No Hate
1967,good shit bad though,No Hate
1968,sad terrifying know dropped reports seen says mean shit storm look pictures thing realize fucking beast,No Hate
1969,sad terrifying know dropped reports seen says mean shit storm look pictures thing realize fucking beast,No Hate
1970,lie shit cr,Hate
1971,fucking w u today lol,No Hate
1972,u think bad stuff happens men cars shit happens everyone mindset deal possible issues like spend whole life worrying something likely happen,No Hate
1973,dear paul mcfartney us beatles lost us president mad captain burn hell jon url,Hate
1974,nah foodie ass gladly say works absolutely one fucking pal,No Hate
1975,nah foodie ass gladly say works absolutely one fucking pal,No Hate
1976,fucked omg old hs open campus every period skip dollar fine lmaooo,No Hate
1977,miss bitch,No Hate
1978,telesmokacatin damn looked better head,No Hate
1979,fuck,No Hate
1980,surprising n c nnor nigga payrol,No Hate
1981,hah fucking chats onya boy,No Hate
1982,shitting lik,No Hate
1983,twitter clear leftist agenda seen comments conservatives asking leftist shit feed ask want stop trying push us,Hate
1984,asshole though,No Hate
1985,bitches brain,Hate
1986,glad think know could kick ass always back knows best awful live like child experience things shitty people lik,No Hate
1987,glad think know could kick ass always back knows best awful live like child experience things shitty people lik,Hate
1988,good morning followed back let give crazy liberals hel,Hate
1989,somewhat conflicted talking shit defending many intelligent bright minds held hostage msm propaganda peddling uhave read,No Hate
1990,shitti,Hate
1991,fuck,No Hate
1992,empty headed bushie whor,Hate
1993,maybe fine people dipshit president talking antifa left fringe far left anti fascist movement lump left antifa lump right neo nazi,Hate
1994,click see hell talking still know war conservatives like war christma,No Hate
1995,damn cathol,Hate
1996,close ties w nra amp funding imp people lives amp sensible gun control attempting defend planned parenthood whilst time rolling back intelligent sex education amp replacing abstinence teachings fucking stupid,Hate
1997,liberals anderson cooper gay default means never wrong also liberals trump jr pos dad,No Hate
1998,paranoid always spam omg spam everyone credit telltale every posts fucking funny chill one car,No Hate
1999,apiece shit would kill animal moth,Hate
2000,gotta love uninformed point venezuela though inevitable result socialism socialism venezuela gun control chicago like watching round shitty jeopardy one knows damn th,Hate
2001,gotta love uninformed point venezuela though inevitable result socialism socialism venezuela gun control chicago like watching round shitty jeopardy one knows damn th,Hate
2002,fuck drug test,No Hate
2003,someone never played spiderman kid want tried year back idk kinda collective nostalgia people web swinging mechanics busted fuck kinda trash,No Hate
2004,democommunists allready destroyed america put men womens bathroom right child molestors n child killers n illegals rights americans u think im wrong bill say something besides kissing liberals ass,Hate
2005,yes bitch,No Hate
2006,lil girl adult conversation take thin ass somewhere ya dig,Hate
2007,hope fuck,No Hate
2008,could stop taking molly shit glad changed still around absolutely sucks max passed amazing artist rip mac,No Hate
2009,damn felt shit loud lol,No Hate
2010,damn felt shit loud lol,No Hate
2011,full shit violent crime amp decline decades b gun crime problem state amp local problem amp called common sense gun control law pass,Hate
2012,suggest get worser jobs want might even office might arguing gay,Hate
2013,imagine married crazy bitch good god,Hate
2014,term parasite added list fuck terms also includes term widget,No Hate
2015,go like seinfeld cancel series hot jk fucking dare better issue plan,No Hate
2016,call dog cause dam got bone nigga,No Hate
2017,lt god chosen leader ass fuck christian conservatives gt baptist pastor brian kaylor claims sarah huckabee sanders lies defend god chosen leader url,Hate
2018,lt god chosen leader ass fuck christian conservatives gt baptist pastor brian kaylor claims sarah huckabee sanders lies defend god chosen leader url,Hate
2019,u bad bitch lol,No Hate
2020,yeah bitch put back beat sorry asses bears suck blew lead lmaoooo,Hate
2021,yeah bitch put back beat sorry asses bears suck blew lead lmaoooo,Hate
2022,picked fuck,Hate
2023,one way look charge bullshit almost everyon,Hate
2024,watching bentley kept looking crate trained good allowed eat pee shit occasionally play tim,No Hate
2025,liberals smh tweeting stupid shit trump order elimination isis obama people think people r murder saved hav killed isi,Hate
2026,nigga going next week,No Hate
2027,fluffy bastard url,Hate
2028,buckle democrats liberals shit hit fan fbi doj,Hate
2029,really cares wack ass beef,No Hate
2030,fact called nigger respectfully told preference damn near proves theori,No Hate
2031,fact called nigger respectfully told preference damn near proves theori,No Hate
2032,nansbabh bitch stfu,Hate
2033,shimmmy ok ok ok bitch lmao jk,No Hate
2034,fucking serious italian talk father born sicily ridiculous notions idiot think left antifa stands anti fascism dictators right w,Hate
2035,reflection meant indeed fuck,No Hate
2036,get shit phone bono never forg,Hate
2037,fucking icon legend genius bitch queen url,No Hate
2038,fucking icon legend genius bitch queen url,No Hate
2039,consider source supreme ass kissing douche bag,Hate
2040,consider source supreme ass kissing douche bag,Hate
2041,fuck daddi,Hate
2042,shit url,Hate
2043,liberals like monkeys throwing shit everyth,No Hate
2044,forgot tag bulletproof bullshit mate got sucked vortex tom drinking koolaid,Hate
2045,gorgeous tits kil,No Hate
2046,bitch togeth,No Hate
2047,antifa anti fascism damn want america maybe ancestors fought nazis ww,Hate
2048,know racist monkey huh sure know piece trash never hear pieces horse shit speak truth racist lies bitch boy racist co,Hate
2049,know racist monkey huh sure know piece trash never hear pieces horse shit speak truth racist lies bitch boy racist co,Hate
2050,know racist monkey huh sure know piece trash never hear pieces horse shit speak truth racist lies bitch boy racist cops kil,Hate
2051,fucking believ,No Hate
2052,ur fucking dumbass fr way anyone els,No Hate
2053,ur fucking dumbass fr way anyone els,No Hate
2054,fuck dildo rider antifa fuck go,Hate
2055,fuck dildo rider antifa fuck go,Hate
2056,fuck dildo rider antifa fuck go,Hate
2057,fuck bitch needs class cant act ass someone liked tweet dont matter place decide life run throw shoes cardi wasnt th,Hate
2058,fuck bitch needs class cant act ass someone liked tweet dont matter place decide life run throw shoes cardi wasnt th,Hate
2059,fuck bitch needs class cant act ass someone liked tweet dont matter place decide life run throw shoes cardi wasnt th,Hate
2060,mumbling hear shit literally spoke w hand sign,No Hate
2061,disagreement fucking umpire player abus,Hate
2062,seen people beautiful mention original art last eyes followers get buried half assed bullshit pals someone popular,Hate
2063,liberals want bert ernie gay wtaf,No Hate
2064,finally holy shit finally reading goat,No Hate
2065,whenever conservatives lose court ruling bitch moan activist judges agenda judges whenever anyone else loses court ruling accept lost court ruling conservatives whiny babi,No Hate
2066,u know u trash worried blaming shitting ariana death responsible instead mac,Hate
2067,fucking liar happy play kate nash ask,Hate
2068,mmmhm heard street gave extra seconds get shit togeth,No Hate
2069,vg hc stickers see trucks exclusively trucks never cars seem like asshole indicators say sure never actually spoken someone like yes hockey involve punching peopl,Hate
2070,piece shit saying fema successful helping puerto rico hurricane maria people died think successful really soul fucking horrible human even think,Hate
2071,piece shit saying fema successful helping puerto rico hurricane maria people died think successful really soul fucking horrible human even think,Hate
2072,piece shit saying fema successful helping puerto rico hurricane maria people died think successful really soul fucking horrible human even think human,Hate
2073,see damn shame delusional gotta worst even boston ben stan,Hate
2074,shit left little bit ago get food still drop paper heart desir,No Hate
2075,also thick shit despite posh brainy voice qt refugee crisis peak said come may surgeons amp dentists amongst fecking leftie lunat,Hate
2076,funny shit,No Hate
2077,r million sign affect vote asshol,Hate
2078,think choice ppl stay hooked shit,No Hate
2079,sounds like hot lesbian sex,No Hate
2080,shit gone work bruh url,No Hate
2081,load illios insta lock torb immediate flame chat moira win fight game constant shit talking team mate one team still torb im fighting doomfist help,No Hate
2082,acting like ass good view,Hate
2083,guy explain day good indication youre talking shit,Hate
2084,kind dumb shit gonna read next,Hate
2085,captain maga getting slandered damn url,No Hate
2086,still shoveling shit trump kind woman supports liar racist pussy grabber kind woman,Hate
2087,still shoveling shit trump kind woman supports liar racist pussy grabber kind woman,No Hate
2088,ready prepared trump administration going shit get hit well white county good lookout randolph county hide yo kids hide yo w,Hate
2089,awesome agree yeah man preach wait read oh shit,No Hate
2090,sorry damn hot af,No Hate
2091,want defined pul ease live msmedia shit smear point marxine waters sending antifa minions threaten public places learn give fuc,No Hate
2092,need know human knew mac many years relationship grieving post something prove fault died like damn stop blaming poor girl,No Hate
2093,wish u folks luck w think fucked though never enough pro gun folks elected california turn tide gun control masses convinced guns equal bad already tell u amp,No Hate
2094,desperate see saying report shame usually says nothing another antifa pussy doubt,Hate
2095,ikkk fucking prince al mn al stories bta disney kida ahhooo,No Hate
2096,odd stating opinions comes attack cunt assumption streamer using boobs attention verbal diarrhea person ought know bett,Hate
2097,doesnt want face responsibility actions wrong job without taking account bit shit,Hate
2098,sometimes edgy bitch boys secretly soft good trope straight abusive thin line walk dramione walk wel,Hate
2099,think safe bet donald clueless everything ignorant amp lies much ivanka knows everything amp flip save treasonous ass,Hate
2100,please watch story welles crowther hero simply asshole asham,Hate
2101,cause director fucking beast let act like christian bale ever fuck niggas wavy fighting scen,No Hate
2102,cause director fucking beast let act like christian bale ever fuck niggas wavy fighting scen,No Hate
2103,disclaimer views necessarily reflect views potus amp conservatives ladies charged nature guard vagina url,No Hate
2104,bitch know u see rainbow inna bio,No Hate
2105,people still buy shit,Hate
2106,things become easy liberals obama administration liberals screaming damn truth mean trump,No Hate
2107,bout start stepping lol another winter boo bro shit cold liter,No Hate
2108,kerry clown actually admits crime throw ass jail arrested right,Hate
2109,politicians talk racism islamophobia homophobia rape drug abuse etc etc understand fucking sick ask jess discussed children complete strangers hate mummy hop,Hate
2110,shit dez talking jerry cowboys fucking clown ass dude go back,No Hate
2111,shit dez talking jerry cowboys fucking clown ass dude go back,Hate
2112,shit dez talking jerry cowboys fucking clown ass dude go back,Hate
2113,know bitch stop talking like gotta paper get nigga,No Hate
2114,know bitch stop talking like gotta paper get nigga,No Hate
2115,ass kinda weird char wore shirt wrestle lesbian joking r,No Hate
2116,ass kinda weird char wore shirt wrestle lesbian joking r,No Hate
2117,screams ass im gay url,No Hate
2118,screams ass im gay url,No Hate
2119,know slam manifort suck know worry junior kushner mad hell knows fire mueller busy puking bathroom und,No Hate
2120,get women like come forward men like finally come forward men like either slut shame call liars men like shy lot victims remain sil,Hate
2121,shit sad,No Hate
2122,fucking fucking happi,No Hate
2123,fucking fucking happi,No Hate
2124,holy shit way,No Hate
2125,dude fuck wrong sent direct tweet show tweet shit let go want double go back whoviill,No Hate
2126,dude fuck wrong sent direct tweet show tweet shit let go want double go back whoviill,Hate
2127,love things sacred cannot voted well towrds bottom scummy swamp scales justice need let drown shit make year holding account,Hate
2128,actual fuck hate seen ey,No Hate
2129,way way much talent goonies like see yall vs tho real shit gz,No Hate
2130,omg fucking crazi,No Hate
2131,niggas getting put list straight ass niggas seen good yoshi patchmade jay rest ass,No Hate
2132,niggas getting put list straight ass niggas seen good yoshi patchmade jay rest ass,No Hate
2133,nut job republicans thinking support let kids murdered school policy says emma gonzalez idol gun control advocate fooled unless want liberal policies personally th,No Hate
2134,yeah fuck pogba,Hate
2135,die might say fuck armor leave crypt never go back lol,No Hate
2136,fucking cares home armed cop invaded home killed guilty end stori,Hate
2137,suck dick,Hate
2138,literally sam quitting smoking mid competition obviously mood swings fantastic human portraying shit portraying jc cute little dude groped tyler sleep sham,Hate
2139,fucking gross,No Hate
2140,fucking problem really jason denys couple times want behave like idiot worried dick bruc,No Hate
2141,fucking problem really jason denys couple times want behave like idiot worried dick bruc,No Hate
2142,low life bitch,Hate
2143,yoo dogs totally fuck,No Hate
2144,suck fucking hard genuinely want drop school quit art spend every day life destroying another epson printer lead pipe hate much,Hate
2145,reflection sycophantic twat mean wrong,Hate
2146,want fight one real taking piss url,Hate
2147,bitchy ask question dont respond would way street,Hate
2148,bitch,Hate
2149,worst place experienced fucking movi,No Hate
2150,fucking mind socialism good thing democratic socialism fool,Hate
2151,fucking calves man,No Hate
2152,honestly fact legislative power coupled fact skilled diplomat sways balance besides varadkar government pushes kinda shit anyway presid,Hate
2153,fucking murdered talk marijuana,No Hate
2154,yeah exact thoughts real uphill climb tho get people stop saying dumb shit internet,No Hate
2155,fascists anti american communist scum like go fuck piece human garbage usa antifa terrorist,Hate
2156,fucking mess hate much,Hate
2157,bigly lol bigly didnt elected people united states ahole referring antifa fools get asses kicked vagina hats lol pathetic ass,Hate
2158,bigly lol bigly didnt elected people united states ahole referring antifa fools get asses kicked vagina hats lol pathetic ass,Hate
2159,true point gun control total bullshit,No Hate
2160,ooooo damn looks like rainbow pretty shit,No Hate
2161,ooooo damn looks like rainbow pretty shit,No Hate
2162,nailed ass,No Hate
2163,bitch minding busi,No Hate
2164,bad ass keep fighting us,No Hate
2165,bitch know body readi,No Hate
2166,plenty people taken stance favor common sense gun control mean jack shit since plan common sense gun control would really help asb asa also spouting empty bu,Hate
2167,yes fuck,No Hate
2168,face close concrete bitch couldve probably stuck tongue lick,No Hate
2169,work asses url,No Hate
2170,murda fuck,Hate
2171,wana talk shit play something know song fire end blowing later becomes song,No Hate
2172,say little pussy saying shit behind people back,Hate
2173,say little pussy saying shit behind people back,Hate
2174,okay enough c shit dont care neith,No Hate
2175,yeah batman made eat rat mostly like yo fuck guy hes cool hes lunatic dick also wants get viol,Hate
2176,yeah batman made eat rat mostly like yo fuck guy hes cool hes lunatic dick also wants get viol,Hate
2177,hopefully beats shit chair ump australia really show,No Hate
2178,bow one gonna reply matter worded sounded liketake camera shove ass lol,Hate
2179,trust kanye right might like shit,Hate
2180,lost shit everyone class judging lmao,No Hate
2181,lokk july said gordon would cut drugs called dipshit,No Hate
2182,url look st bullshit,Hate
2183,fuck acted like father girl killed parkland bug instead telling us much loves girls tell truth really doesnt give shit killed crazy white guy,Hate
2184,fuck acted like father girl killed parkland bug instead telling us much loves girls tell truth really doesnt give shit killed crazy white guy,Hate
2185,obviously bitch,Hate
2186,looks like middle shitting pants must ate one booger mani,No Hate
2187,oh please every network reporting bullshit obviously stop pretending fox political bigotry show,Hate
2188,bitch mean get pristin,Hate
2189,epic moment sentences graaawrl wyvern breakfast guys dumb healer babysit fire shit try dragon foolishness also need bury half body tank try get half stomach url,No Hate
2190,henry fucking great def inspo love death problem,No Hate
2191,lying stack shit,Hate
2192,cuz nigga retarded smh,Hate
2193,illinois strict ass gun control let thugs gang bangers guns means lot viol,No Hate
2194,fuck fry money imagin,Hate
2195,scale much laugh excuse besides plain shit,Hate
2196,legit lol shit funny asf,No Hate
2197,fuck yeah,No Hate
2198,probably referring fact started henderson apparently shit sturridge apparently finished years ago mean like could possibly win two field,No Hate
2199,another overdose nigga,No Hate
2200,hate im fucking sorri,No Hate
2201,myyy nigga,No Hate
2202,every lie telling happened children guy man clearly believe shit like happened another stall tactic liber,No Hate
2203,thinks full shit,Hate
2204,hell think acussed mean guilty women accused man man voice right clear name ne,Hate
2205,good shit,No Hate
2206,bullshit people died incompetent government puerto rico start mayor stop lying gutierrez,Hate
2207,really bitch wow,Hate
2208,bit celebrity ass,No Hate
2209,isaac fucking tall guy behind dud,No Hate
2210,sure woman one mostly men throw insults like mean ugly feminist cat women penis envi,No Hate
2211,c mon brah go finish mother fucking apple cider beer shut fuck adults trying fun twitter url,Hate
2212,c mon brah go finish mother fucking apple cider beer shut fuck adults trying fun twitter url,Hate
2213,liberal professor dog always spewing hatred us conservatives going hell rest sleaze bag,Hate
2214,really abs lot defined miss lifting heavy ass weight thank girl,No Hate
2215,nigga los,No Hate
2216,gun control mgk diss url via fucking new em let shit slide playin wit da kid,No Hate
2217,gun control mgk diss url via fucking new em let shit slide playin wit da kid,No Hate
2218,gay sick pervert gets nerv,Hate
2219,want see corrupt bitch gitmo birthday url,Hate
2220,mean ass cousin hate lol,No Hate
2221,go la casa de las micheladas crazy ass on,No Hate
2222,plenty ppl work full shift still manage find way home correctly bullshit flying publ,Hate
2223,ohh shit,No Hate
2224,liberals give shit soul,Hate
2225,see thick bad bitch,Hate
2226,fuck wall american white black men kill way immigrant gun control would help way,Hate
2227,reason wife ass,Hate
2228,corey booker try finger blast ass teenager url,No Hate
2229,know fact claim like bullshit imagine never enacted clean air regulations years ago u wait imagine look air quality china,Hate
2230,whore mayor stealing money funded dems bash potus wtf country power grid god knows theres enough replac,Hate
2231,like saying pale live north pole bitchass dipfuck,Hate
2232,antifa one shit brains worship queen needs toe cheese licked url,Hate
2233,idk u well must fuckin delicious corn chip someone misses dear,No Hate
2234,damn cute def facial express,No Hate
2235,kurt liberals obsessed seeing president disgusting penis fantasize room horrible hog sweating stop thinking mushroom capped member visibly erect,No Hate
2236,best stats season mean greatest pl midfielder fuck,No Hate
2237,dumb ass wear helmet next gam,Hate
2238,lol shit said tweet,No Hate
2239,ikr riding trainer fun running lower rear backwoodsistan fuck,Hate
2240,oh fuck yeah,No Hate
2241,nigga,No Hate
2242,fucking glory hunt,Hate
2243,earthy fuck racket abuse fake ass penalty ever put donuts watched men match,Hate
2244,long ass blog might make sense url,No Hate
2245,lmfaooooo foh w free thought shit lmaoooo,No Hate
2246,bet fitted waists women meant look hourglass even give shit,No Hate
2247,oh god fucking cut,No Hate
2248,yes tired relying mfs answer phone shit even worth new plug,No Hate
2249,mean allsup communist antifa shithead people would coming defense despite shit political team sports dumb allsup dickwe,Hate
2250,mean allsup communist antifa shithead people would coming defense despite shit political team sports dumb allsup dickwe,Hate
2251,mean allsup communist antifa shithead people would coming defense despite shit political team sports dumb allsup dickwe,Hate
2252,go pick u fuck ub,No Hate
2253,fr people always bullshit amp postponing missing anything else another person get shit together else fails go amp tbh end better time anyway,Hate
2254,fr people always bullshit amp postponing missing anything else another person get shit together else fails go amp tbh end better time anyway,No Hate
2255,dominos ass,Hate
2256,muted awhile ago tried say shit like ix ine positive work mexican rap like kind pedo garbag,No Hate
2257,im going tell one time fuck block report ass whos current presid,Hate
2258,im going tell one time fuck block report ass whos current presid,Hate
2259,stamp shit tim,No Hate
2260,colin dick would sell quick,Hate
2261,meanwhile greatest economy ever jobs blacks hispanics history k kicking ass ms illegals deported daily nk back table denuclearizing trump draining corruption doj fbi,No Hate
2262,waiting mean ass florence gonna ack,No Hate
2263,anxiety fucking suck,No Hate
2264,yea cuz mushroom penis syndrome definitely impeachable offens,No Hate
2265,saying niggas say boycotting nike military racist military fuck nik,No Hate
2266,obama preach gun control u arm drug cartels mexico advocate open borders piece shit worth obama,Hate
2267,k dog shit,Hate
2268,nigga prob made infertile god knows germs brought back,Hate
2269,fuck ass fuck although conservatives fucking us ass right,No Hate
2270,fuck ass fuck although conservatives fucking us ass right,No Hate
